Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
Sector 43,748,204 square feet,1st Floor,3 BHK,READY,1.95 crores,NORTHWEST,NO,NO,,,,,,,,,,,
Sector 43,748,204 square feet,2nd Floor,3 BHK,READY,1.85 crores,NORTHWEST,NO,NO,,,,,,,,,,,
Sector 43,748,204 square feet,3rd Floor,3 BHK,READY,1.85 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 4,5809,270 square feet,1st Floor,3 BHK,READY,3.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 4,5809,270 square feet,2nd Floor,3 BHK,READY,3.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 4,5809,270 square feet,3rd Floor,3 BHK,READY,3.4 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 4,5809,270 square feet,4th Floor,3 BHK,READY,3.75 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 4,6402,270 square feet,2nd Floor,3 BHK,READY,3.25 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 4,7207,270 square feet,1st Floor,3 BHK,READY,3.7 crores,NORTH,NO,NO,,,,,,,,,,,
DLF City Phase 4,7419,270 square feet,3rd Floor,3 BHK,READY,2.9 crores,NORTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A4/1,500 square feet,1st Floor,4 BHK,READY,5.7 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,A4/1,500 square feet,2nd Floor,4 BHK,READY,5.5 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,A4/1,500 square feet,3rd Floor,4 BHK,READY,5.5 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,A4/1,500 square feet,4th Floor,4 BHK,READY,6 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,A220,418 square feet,1st Floor,4 BHK,READY,5 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A545A,500 square feet,3rd Floor,4 BHK,READY,5 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A545A,500 square feet,4th Floor,4 BHK,READY,5.5 crores,NORTH,NO,NO,,,,,,,,,,,
DLF City Phase 1,B18/3,270 square feet,3rd Floor,3 BHK,READY,3.5 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2/1A,670 square feet,1st Floor,4 BHK,READY,6.25 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2/1A,670 square feet,2nd Floor,4 BHK,READY,6 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2/1A,670 square feet,3rd Floor,4 BHK,READY,6 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2/1A,670 square feet,4th Floor,4 BHK,READY,6.5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2/11A,418 square feet,3rd Floor,4 BHK,READY,4 crores,NORTHWEST,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2/11A,418 square feet,4th Floor,4 BHK,READY,5 crores,NORTHWEST,YES,NO,,,,,,,,,,,
